Software,"Acquired
intangible
asset","Work
in progress",To
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ milli
"16,350","1,882","2,670","20,"
(145),-,(0),(1
228,-,"3,586","3,"
"1,061",,"(1,061)",
(118),,-,(1
"17,376","1,882","5,195","24,"
"9,587",577,-,"10,"
(209),-,-,(2
"1,512",568,,"2,"
(110),-,-,(1
"10,780","1,145",-,"11,"
"6,596",737,"5,195","12,"
