AGENCY BANKING,Dec-17,Dec-18,Growth
Number of agents,"35,272","42,635",21%
Monthly transactions,5.9Mn,6.6Mn,13%
"Monthly value of
transactions",47.02Bn,58.6Bn,25%
Monthly agent commissions (gross),144.6Mn,174.5Mn,21%
