Group,Column,Company,Column
2014,2013,2014,2013
,"34,528
171,363
44,572
122
11,149
550
1,574
-
9,796
180
2,069
887
939",,
"48,218",,"8,418",
"214,170",,-,
"48,369",,-,
189,,-,
"15,983",,-,
123,,-,
-,,,
-,,"54,799",
"10,528",,-,
106,,-,
"3,425",,-,
887,,-,
"2,574",,,
"344,572","277,729","63,217",
,"195,153
64
-
4,219
26,736
2",,
"245,582",,-,
"463
-",,"461
420",
"4,507",,23,
"30,242",,-,
2,,-,
"280,796","226,174",904,
,"1,851
12,161
32,662
(702)
753
(643)
32
(113)
5,554",,
"1,851",,"1,851",
"12,161",,"12,161",
"43,055",,"41,253",
(357),,(385),
"1,020",,768,
(506),,-,
-,,-,
(113),,-,
"6,665",,"6,665",
"63,776","51,555","62,313",
"344,572","277,729","63,217",
