"At 31 December, 2016",Column,Column,Column,Column,Column,Column,Column
Total asset,"372,315","18,243","11,070","15,676","23,838","32,571","473,713"
Total liabilities,"307,345","16,010","7,503","12,888","20,877","27,113","391,736"
Net interest income,"35,165","1,887",(55),"1,066","1,168","2,583","41,814"
Total operating income,"51,988","2,847",895,"1,659","1,971","4,673","64,033"
Depreciation and amortization,"3,909",137,68,144,168,313,"4,739"
"Additions to property and
equipment","1,239",191,152,57,152,945,"2,736"
Additions to intangible assets,"2,608",3,-,-,1,52,"2,664"
"Total expenses including
impairment of financial assets","28,414","2,218","1,423","1,263","1,616","4,172","39,106"
Profit before tax,"23,574",628,(528),396,356,501,"24,927"
