Group,Column,Bank
2012,2011,2012
,"1,851
12,161
17,719
(887)
(1,366)",
"1,851",,"1,851"
"12,161",,"12,161"
"25,088",,"24,308"
(887),,-
"(1,457)",,"(8,796)"
"36,756","29,478","29,524"
,"521
7,624",
567,,454
"14,762",,"14,762"
"15,329","8,145","15,216"
"52,086","37,623","44,740"
,"127,880
30%
24%",
"162,506",,"148,660"
32%,,30%
23%,,20%
