"Less than 3
months","3-6
months","6-12
months","1-5
years","Over 5
years",To
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ mill
"14,410",-,-,-,-,14
3,-,-,-,-,
"1,724",-,-,-,-,1
"16,137",-,-,-,-,"16,"
547,-,-,-,-,
-,396,396,"7,945","3,892",12
14,-,-,-,-,
561,396,396,"7,945","3,892","13,"
"15,576",(396),(396),"(7,945)","(3,892)","2,"
