"Less than
3 months","3-6
months","6-12
months","1-5
years","More than
5 years",Totals
"Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions"
"304,853","3,797","6,101","3,646","2,290","320,687"
"235,016","37,987","93,990","471,205","215,189","1,053,387"
"18,145","41,071","47,173","255,939","441,662","803,990"
184,-,-,-,-,184
"20,829","3,242","3,242","3,242","3,242","33,797"
67,-,-,-,-,67
"579,094","86,097","150,506","734,032","662,383","2,212,112"
"631,440","116,910","164,824","477,112","71,968","1,462,254"
"17,375","1,620","4,443","49,238","5,520","78,196"
"19,894",-,-,-,-,"19,894"
"7,778",410,950,"7,751",699,"17,588"
"13,732","7,094","7,502","15,004","6,685","50,017"
"690,219","126,034","177,719","549,105","84,872","1,627,949"
"(111,125)","(39,937)","(27,213)","184,927","577,511","584,163"
"16,717","7,165","21,132","24,390","16,717","86,121"
"29,391","7,809","12,552","8,966","29,391","88,109"
"28,716","12,095","3,020",102,"28,716","72,649"
30,51,"1,944",278,30,"2,333"
"74,854","27,120","38,648","33,736","74,854","249,212"
