Stage 1,Stage 2,Stage 3,Column
"12-month
ECL",Lifetime ECL,Lifetime ECL,To
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millio
-,-,"13,309","13,3"
-,-,"30,892","30,8"
-,-,"14,464","14,4"
-,-,"58,665","58,6"
-,-,"(36,225)","(36,22"
-,-,"22,440","22,4"
"599,576",-,-,"599,5"
-,"97,118",-,"97,1"
"599,576","97,118",-,"696,6"
"(6,446)","(7,519)",-,"(13,96"
"593,130","89,599",-,"682,7"
,,,"705,1"
,,,"6,1"
,,,"(4,75"
,,,"1,4"
,,,"706,5"
