"Carrying
amount","Non-
interest
bearing","Less than
3 months","3-6
months","6-12
months","1-5
years","More than
5 years"
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions
"232,369","203,411","28,958",-,-,-,-
"706,588",-,"706,588",-,-,-,-
"393,984",-,"43,630","6,398","3,106","45,287","295,563"
"1,332,941","203,411","779,176","6,398","3,106","45,287","295,563"
"1,052,162","637,090","198,582","67,911","77,206","69,010","2,363"
"157,542",-,"51,871","2,214","5,454","85,366","12,637"
"9,127","1,406",546,448,950,"4,169","1,608"
"2,935","2,935",-,-,-,-,-
"1,221,766","641,431","250,999","70,573","83,610","158,545","16,608"
"111,175","(438,020)","528,177","(64,175)","(80,504)","(113,258)","278,955"
