Name,"Executive/
Non-Executive
Director",Skills,Qualifications,Gender,Age,"Year of
appointment",Nationality
"Prof. Isaac
Macharia","Chairperson
Independent
Non-Executive
Director","• Medical
• Strategic planning
• Leadership
• Business development","• Bachelor of Medicine
• Bachelor of Surgery
• Master of Medicine in Otorhinolaryngology
(University of Nairobi)
• Fellow of the College of Surgeons of East, Central
and Southern Africa (COSECSA)",Male,64,2017,Kenyan
"Evelyn
Rutagwenda","Vice-
Chairperson
Independent
Non-Executive
Director","• Accounting
• Auditing
• Leadership
• Management","• BComm (Makerere University, Kampala)
• Certified Public Accountant (CPA)
• Member of the Institute of Certified Public
Accountants of Rwanda (ICPAR)",Female,64,2015,Rwandese
"Dr. James
Mwangi, CBS","Group
Managing
Director and
Chief Executive
Officer
Non-
Independent","• Banking and finance
• Leadership
• Management of
financial institutions","• BComm (University of Nairobi)
• Certified Public Accountant (CPA)
• Doctor of Business Administration (Kenya Methodist
University)
• Doctor of Humane Letters (Kenyatta University)
• Doctor of Entrepreneurship (Jomo Kenyatta
University of Agriculture and Technology)
• Doctor of Business Management (Honours Causa)
(Meru University of Science and Technology)
• Doctorate of Letters (Africa Nazarene University)",Male,"6
0",2014,Kenyan
Mary Wamae,"Executive
Director
Non-
Independent","• Legal,
• Company secretarial
• Strategic planning
• Leadership
• Business development","• Masters in Leading Innovation and Change (York St.
John University)
• LLB (University of Nairobi)
• Diploma in Law (Kenya School of Law)
• Graduate of the Advanced Management Programme
(Strathmore – IESE Business
• School, Barcelona, Spain)
• Advanced Management Programme (Harvard
Business School)
• Post-graduate Diploma in Gender and Development",Female,"5
4",2017,Kenyan
"Vijay
Gidoomal","Independent
Non-Executive
Director","• Finance
• Operations
• Strategic planning
• Business development","• BA (University of Warwick)
• LLB (University of Warwick)",Male,"5
5",2017,Kenyan
"Dr. Helen
Gichohi MBS,
OGW","Independent
Non-Executive
Director","• Leadership
• International
management of
social impact and
transformational
programmes","• PhD in Ecology (University of Leicester)
• MSc (Biology of Conservation) (University of Nairobi)
• B.Ed (Sc) in Zoology (Kenyatta University)",Female,"6
2",2015,Kenyan
"Dr. Edward
Odundo","Independent
Non-Executive
Director","• Strategic management
• Marketing
• Finance
• Accounting
• Pension
• Tax","• PhD in Business Administration (Strategic
Management) (University of Nairobi)
• MBA in Strategic Management and Marketing (USIU,
San Diego)
• BSc in Finance and Accounting (USIU, San Diego)",Male,"6
4",2018,Kenyan
"Jonas
Mushosho","Independent
Non-Executive
Director","• Strategic management
• Change management
• Organisational
transformation
• Innovation","• Bachelor of Accounting Science (University of South
Africa)
• Bachelor’s Degree in Accounting (University of
Zimbabwe)
• MBA (University of Zimbabwe)
• University of Cape Town (Graduate School of
Business)
• London Business School
• Harvard Business School",Male,"6
4",2021,Zimbabwean
"Dr. Evans
Baiya","Independent
Non-Executive
Director","• Inventor
• Science, technology,
engineering, and
innovation leadership
• New product
development and
management
• Business
transformation using
digital technologies
and big data
• Technology transfer
and commercialization","• Doctor of Philosophy; Engineering and Technology
Management Northcentral University, Arizona, USA
• Executive Program; Business Strategy and
Intellectual Property, Harvard Business School,
Massachusetts, USA
• Postgraduate studies in Electrical Engineering
(ABT); Boise State University, Idaho, USA
• Postgraduate studies in Chemistry (ABT); Idaho
State University, Idaho, USA
• Master of Business Administration; Northwest
Nazarene University, Idaho, USA
• Bachelor of Science in Chemistry; Idaho State
University, Idaho, USA",Male,48,2022,Kenyan
"Lydia
Ndirangu","Company
Secretary","• Corporate governance
regulatory and
compliance
• Tax
• Accounting
• nvestment
• Analysis
• Business relationship
management","• Master of Laws (LLM) – Public Finance (University of
Nairobi);
• Postgraduate Diploma (Law), (Kenya School of Law);
• Bachelor of Laws (LLB) (University of Nairobi)
• CPA, CS, CISA",Female,37,2021,Kenyan
