SDG,SDG Target,Result
,"Ensure healthy lives and promote
wellbeing for all at all ages
3.8-Achieve universal health coverage,
including financial risk protection,
access to quality essential health-care
services and access to safe, effective,
quality and affordable essential
medicines and vaccines for all.
3.C -Substantially increase health
financing and the recruitment,
development, training and retention
of the health workforce in developing
countries, especially in least developed
countries.","» Established 11 Equity Afia health clinics.
» 154,137 patient visits in 2019.
» 62,083 clients reached through Equity Afia
outpatient services.
» Provision of Medical Insurance by Equity Insurance
Agency Limited."
,"Ensure inclusive and equitable quality
education and promote lifelong
learning opportunities for all
4.1- By 2030, ensure that all girls
and boys complete free, equitable
and quality primary and secondary
education.
4.3- By 2030, ensure equal access for
all women and men to affordable and
quality technical, vocational and tertiary
education, including university.
4.4- By 2030, substantially increase
the number of youth and adults who
have relevant skills, including technical
and vocational skills, for employment,
decent jobs and entrepreneurship.
4.6- By 2030, ensure that all youth and
a substantial proportion of adults, both
men and women, achieve literacy and
numeracy.","» 26,304 scholarships offered through the Equity
Group Foundation.
» 17,304 beneficiaries benefit from secondary
education reached through Wings to Fly.
» 9,000 scholarship beneficiaries under the Elimu
Scholarship Program (in partnership with GoK and
the World Bank).
» 3,033 Wings to Fly alumni benefit from technical
skills training through Technical and Vocational
Education and Training (TVET) institutions.
» 5,968 top performing secondary school graduates
have accessed leadership training, coaching
and mentoring through Equity Paid Internship
Program.
» 554 scholars gain admission and scholarships
to study in leading global institutions across 25
countries through College Counselling program."
,"Achieve gender equality and empower
all women and girls
5.A- Undertake reforms to give women
equal rights to economic resources, as
well as access to ownership and control
over land and other forms of property,
financial services, inheritance and
natural resources, in accordance with
national laws.","» 2.1 million women and youth in Kenya provided
with financial literacy skills.
» USD 51.1 Million (Shs 5.2 Billion) issued through
Fanikisha Women suite of loan products."
