Group,Kenya,Uganda,"South
Sudan",Rwanda,Tanzania,DRC,Total
,"Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions"
At 31 December 2018,,,,,,,
Total assets,"423,044","32,267","8,560","27,004","24,544","57,965","573,384"
Total liabilities,"349,187","27,513","5,338","23,222","21,898","51,269","478,427"
Net interest income,"32,059","2,551",37,"1,655","1,402","3,418","41,122"
Total operating income,"47,467","3,814",980,"2,164",894,"5,258","60,577"
"Depreciation and
amortization","3,276",252,117,213,134,449,"4,441"
"Total expenses including
impairment of financial
assets","26,214","2,479",752,"1,522","2,674","5,180","38,821"
