Carrying amount,Less than,1 - 5,More than
,3 Months,Years,5 Years
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions
"22,148","22,148",-,-
"(13,225)",-,"(13,225)",-
"8,923","22,148","(13,225)",-
