Group,Column,Bank
2011,2010,2011
,"9,045
1,343
146
-
1,905
(46)
(49)
602",
"12,834",,"12,104"
"1,583",,"1,338"
162,,145
(7),,(3)
"1,630",,"1,533"
(106),,-
(49),,(49)
763,,806
"16,810","12,946","15,874"
"(37,159)","(16,938)
(1,071)
-
34,588
(96)
1,160","(35,118)"
"(1,254)",,"(1,472)"
2,,-
"39,734",,"30,289"
(16),,144
(151),,(73)
"17,966","30,589","9,644"
"(2,875)","(1,294)","(2,747)"
"15,091","29,295","6,897"
,"(1,893)
(310)
22
49
(31,534)
10,628
(1,820)",
"(2,225)",,"(1, 689)"
(473),,(467)
25,,4
-,,"(1,588)"
49,,49
"(22,546)",,"(22,248)"
"23,959",,"23,888"
"3,913",,"4,255"
"2,702","(24,858)","2,204"
,"(1,481)
2,631
(1,154)
(602)",
"(2,962)",,"(2,962)"
"8,096",,"7,502"
"(1,267)",,"(1,197)"
(763),,(806)
"3,104",(606),"2,537"
"20,897","3,831
(143)
9,752","11,638"
(205),,-
"13,440",,"7,492"
"34,132","13,440","19,130"
