Group,Column,Bank,Column
2013,2012,2013,2012
-,"689
612
4,308
3,261
3,221
8,615
85
315
1,292
1,292
1,756
232
-
-
-
27
1
86
161
193
-
160
96
48
32
86",-,
614,,614,
"3,240",,"3,240",
"4,938",,"4,938",
"3,221",,"3,221",
"8,640",,"8,640",
85,,85,
224,,224,
"1,296",,"1,296",
"1,296",,"1,296",
"1,827",,"1,827",
226,,226,
-,,5,
875,,-,
-,,-,
-,,-,
-,,-,
65,,-,
-,,-,
-,,-,
189,,-,
-,,-,
-,,-,
-,,-,
-,,-,
-,,-,
"26,736","26,568","25,612",
,"2,506
24,063",,
"3,572",,"2,443",
"23,164",,"23,169",
"26,736","26,569","25,612",
