Project,Brief - Description,Partners,Target
"Kenya Cereal
Enhancement
Programme (KCEP)","An input subsidy program whereby
Equity Bank Kenya has provided an
E-voucher platform, for farmers to
access inputs from selected agro
dealers. Selected beneficiaries are
trained on financial education and
entrepreneurship education.","Government of
Kenya, IFAD, EU,
Equity Bank Kenya","40,000 farmers and 300 Agro
dealers, 38,522 farmers and
288 agro dealers reached.
Subsidy inputs worth Ksh
764M channelled through
Equity Bank Kenya"
Smallholder Dairy,"Target to train dairy farmers and
empower the beneficiaries to
make informed financial choices.","Government of
Kenya, IFAD,
Equity Bank Kenya","Target to train 24,400 dairy
farmers and other dairy value
chain stakeholders"
"Kenya Forest Services
(KFS)","Risk sharing fund to reach farmers
under the climate smart financing.
The program promotes farm
forestry investments.","Government of
Kenya, Kenya
Forest Service,
Equity Bank Kenya","Advance loans to farmers
groups referred by KFS. 2,374
farmers accessed loans
worth to Ksh 41.2M"
Kilimo Biashara,"Risk sharing partnership to
support food crop farmers.","Government of
Kenya, IFAD, World
Bank, AGRA,
Equity Bank Kenya","Ksh 7B has been disbursed
to over 78,000 households.
Disburse Ksh 3B loans in
the next 5 years to 100,000
farmers"
"Satellite
Technologies,
Innovative and Smart
Financing for Food
Security (Satisfy)","Research project whereby
agriculture loans are bundled
with insurance.","International
Food Policy
Research
Institute, Equity
Bank Kenya","292 clients reached with
loans amounting to Ksh
3.09M – Project to scale up
to other counties."
"Financial Access
to SMEs and Rural
Population in
Agriculture using
Technology","Financial Access to SMEs and
Rural Population in Agriculture
using Technology","NORAD, Equity
Bank Kenya","60,000 farmers and 5,000
SMEs"
"The Medium size farm
project","Project aimed to commercialize
2,000 medium size farmers","Kingdom of
Netherlands,
Equity Bank Kenya","2,616 medium size farmers
trained on Financial
Management and Good
Agricultural practices"
"Small holder irrigation
project for Mt Kenya
Region (SIPMK)","Provide water for consumption and
for irrigation","KfW, Government
of Kenya and
Equity Bank
Kenya","Farmers with water and
engage in export of fresh
produce"
