Group,Column,Bank
2012,2011,2012
,"10,325
-
(204)
(6)
-
(72)",
"12,080",,"10,997"
-,,-
(74),,-
(2),,-
(124),,(124)
454,,454
254,(282),330
"12,334","10,043","11,327"
"12,334","10,043","11,327"
