Name,"Executive/
Non-Executive
Director",Skills,Qualifications,Gender,Age,Appointed,Nationality
"Samwel
Kirubi","■ Executive
Director","■ Organisational
transformation
■ Business
Development
■ Leadership
■ Strategic
Management
■ Operations","■ Advanced Management Programs at
Harvard Business School
■ Strathmore IESE Business School
■ Master’s degree in Business
Administration (Moi University)
■ BA in Economics and Statistics from
Egerton University",Male,50,2023,Kenyan
"Samuel
Mwale","■ (cid:49)on-
Executive
Director","■ Strategic
Leadership &
Management
■ Public Policy
Formulation and
Advisory
■ Corporate
Governance &
Board Leadership
■ Institution
Building &
Organisational
Development","■ MSc in Agricultural Economics
(University of Oxford)
■ Diploma in Development Economics
(School of Development Studies,
University of East Anglia, UK)
■ BSc (Hons) in Range Management
(University of Nairobi, Kenya)
■ Certificate in Leaders in Development
(John F. Kennedy School of
Government, Harvard University, USA)
■ Certificate in Agricultural and Natural
Policy Analysis, Food Research
Institute (Stanford University, USA)",Male,62,2024,Kenyan
"Clifford
Sacks","■ (cid:49)on-
Executive
Director","■ Global Capital
Markets Expertise
■ Mergers &
Acquisitions
(M&A) Strategy
and Execution
■ Debt and Equity
Capital Markets
Advisory
■ Cross-border
Transactions
■ Risk Management
& Governance
Framework
Implementation
■ Corporate
Strategy
Alignment","■ Higher Diploma in Company Law
(University of the Witwatersrand)
■ Bachelor of Laws (LLB), (University of
the Witwatersrand)
■ Bachelor of Commerce, (University of
the Witwatersrand)",Male,63,2024,South African
"Farida
Khambata","■ Independent
(cid:49)on-
Executive
Director","■ Risk Management
■ Executive
Leadership
■ Treasury &
Investment
■ Capital Markets
■ Asset
Management","■ (cid:48)aster of (cid:36)rts in Economics -
University of Cambridge
■ Master of Science in Business
(cid:48)anagement- (cid:47)ondon Business
School
■ Chartered Financial Analyst (CFA)
■ Advanced Management Program
(AMP) – Wharton Business School",Female,75,2024,Canadian
"Lydia
Ndirangu","■ Company
Secretary","■ Corporate
governance
regulatory and
compliance
■ Tax
■ Accounting
■ Investment
■ Analysis
■ Business
relationship
management","■ Master of Laws (LLM) – Public Finance
(cid:11)(cid:56)niversit(cid:92) of (cid:49)airobi(cid:12)(cid:30)
■ Postgraduate Diploma (Law), (Kenya
School of (cid:47)aw(cid:12)(cid:30)
■ Bachelor of Laws (LLB) (University of
Nairobi)
■ CPA, CS, CISA",Female,40,2021,Kenyan
