Column,Kenya,Uganda,South Sudan,Rwanda,Tanzania,DRC
"At 31 December 2019
At 31 December
Average for the year
Maximum for the year
Minimum for the year
Minimum statutory requirement
At 31 December 2018
At 31 December
Average for the year
Maximum for the year
Minimum for the year
Minimum statutory requirement",,,,,,
,55%,30%,136%,381%,49%,162%
,59%,27%,144%,210%,50%,183%
,62%,38%,163%,365%,57%,194%
,55%,20%,133%,125%,40%,161%
,20%,20%,20%,100%,20%,100%
,"58%
58%
60%
54%
20%","38%
34%
44%
27%
20%","134%
136%
166%
125%
20%","110%
157%
281%
108%
100%","43%
37%
43%
31%
20%","187%
156%
187%
142%
100%"
