Name of Director,Number of Meetings Attended
Peter Kahara Munga,6
James Njuguna Mwangi,6
Benson Irungu Wairegi,6
Fredrick Mwangi Muchoki,6
Julius Kangogo Kipng’etich,6
Peter Gachuba,5
Linus Wang’ombe Gitahi,3
Ernest Mattho Nzovu,6
Beatrice Makanga Sabana,3
