Name,Expertise,"Executive/
Non-Executive","Independent/
Non-Independent",Gender,"Meeting
Attendance"
Dr. Peter Munga,"Accounting and financial management
experience",Non-Executive,Independent,Male,5/5
Dr. James Mwangi,"Banking and financial experience, leadership
and management of financial institutions",Executive,Non-Independent,Male,5/5
Mr. John Staley,"Accounting, management, information and
communication technology",Executive,Non-Independent,Male,4/5
Dr. Helen Gichohi,"Leadership and international management of
social impact and transformational programs",Non- Executive,Non-Independent,Female,5/5
Mr. David Ansell,"Management of financial institutions, strategic
planning and business development",Non-Executive,Independent,Male,4/5
Mr. Dennis Aluanga,"Finance, operations, strategic planning and
project management",Non-Executive,Independent,Male,5/5
Mrs. Evelyn Rutagwenda,"Accounting, auditing, leadership and
management",Non-Executive,Independent,Female,5/5
Mr. Adil Popat,"Business administration, management,
finance and strategic planning",Non-Executive,Independent,Male,5/5
Mr. Deepak Malik,"Investments, management of financial
institutions, accounting and privatization in
emerging markets",Non-Executive,Non-Independent,Male,5/5
