Column,Column,Group,Company,Group,Company
,Sensitivity,"impact on
profit or loss","impact on
profit or loss","impact on
equity","impact on
equity"
,,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions
2018,+/-5%,"+/-2,071",+/-2,"+/-1,450",+/-1
2017,+/-8%,"+/-1,230",+/-2,+/-898,+/-1
