Kenya,Tanzania,"South
Sudan",Uganda,Rwanda,DRC,Elimination,Total
"123,432","5,059",280,"15,053","10,195","41,485","(10,160)","185,344"
"(52,356)","(1,951)",(66),"(5,263)","(2,575)","(9,524)","10,160","(61,575)"
"71,076","3,108",214,"9,790","7,620","31,961",-,"123,769"
"8,442",954,"1,031","2,557","2,317","16,962",-,"32,263"
"34,451","1,011","7,174","2,061","1,911","7,115","(27,154)","26,569"
"(10,442)",(796),5,"(3,160)",(305),"(6,122)",-,"(20,820)"
"(4,245)",(308),(65),(985),(400),"(1,876)",(272),"(8,151)"
"(49,010)","(2,429)","(6,702)","(9,795)","(3,354)","(27,989)","6,390","(92,889)"
"50,272","1,540","1,657",468,"7,789","20,051","(21,036)","60,741"
"(4,540)",(376),(381),138,"(2,348)","(4,410)",-,"(11,917)"
"45,732","1,164","1,276",606,"3,379","15,641","(21,036)","48,824"
