Association of Microfinance Institutions (AMFI),Kenya Bankers Association (KBA)
African Leadership Network (ALN),Kenya Healthcare Federation (KHF)
"Agenda Council on new models of economic thinking of
the World Economic Forum (WEF)",Kenya Private Sector Alliance (KEPSA)
Aspen Network of Development Entrepreneurs (ANDE),Micro Finance Network (MFN)
Association of Kenya Insurers (AKI),Small Business Banking Network (SBBN)
Clinton Global Initiative,Smart Communities Coalition
East Africa Humanitarian Private Partnership Platform,Tent Partnership for Refugees
G8 New Alliance for Food Security and Nutrition,UN Economic and Social Council
Global Agenda Council on Emerging Multinationals 2010,UN Global Compact
Global Network for Banking Innovation (GNBI),Women’s World Banking (WWB)
Invest in Africa (IIA),World Economic Forum
