No.,Collateral Type
1.,Cash Under Lien
2.,Corporate Guarantees
3.,Debenture/Land
4.,Government Guarantee
5.,Hire Purchase Agreement
6.,Land & Buildings-Commercial
7.,Land & Buildings-Residential
8.,Logbooks
9.,Shares
10.,Treasury Bonds/Bills
