Stakeholder definition,Manner of engagement,Frequency of Engagement
"Shareholders and investors
These constitute the providers of financial capital,
and we disclose to them relevant information to
make informed investment decisions in addition
to seeking their perspectives on our financial
performance and strategy.","■ Through publications
■ Through various reports
■ Through the Annual General
Meeting (AGM)
■ Investor Roadshows
■ Regular investor briefings
■ Investor calls.",Quarterly/Annually
"Our customers
These constitute the largest source of our deposits,
which enable us to fund lending activities. We
safeguard their deposits through responsible and
sustainable banking practices, sound governance
and robust risk management.","■ Radio / TV Shows
■ Marketing and campaigns
■ Through Branch Employees
■ Through agents
■ Internet
■ Social Media
■ Outreach campaigns by the
foundation
■ During the onboarding process
■ Through the relationship
management team",Monthly
"Our employees
These are the motivated and skilled people, who
enable us to offer value to our customers, and
who, as part of society, contribute materially to the
communities in which they live and work.","■ Induction / Orientation
■ Conventions
■ Performance appraisals
■ Publications
■ Intranet
■ One on One engagements
■ Content posts
■ Learning platforms
■ Recurring education",Monthly/ Quarterly
"Society and communities
Society and communities grant us the license
to operate. Mindful of their interests we engage
with our various host communities as part of
understanding and identifying areas of sustainable
social impact that we can invest in to empower
them socially and economically.","■ Radio and TV Shows
■ Newsletters
■ Face to face meetings in the
branch
■ Social media
■ Regular meetings customer
dinners and lunches
■ Various publications.
■ Outreach campaigns by the
foundation",Monthly
"Regulators and policymakers
They constitute a wide spectrum of bodies and
people who regulate our industry across the
various territories in which we operate, with whose
laws, rules, and regulations we are committed to
comply transparently and openly.","■ Through publications
■ Through reporting
■ One on One engagements",Quarterly
