KESm,"1H
June 2012","1 H
June 2013","1 H J u n e 2 0 1 3 vs.
1H June 2012"
Interest Income,"14,859","15,712",5.7%
"Interest Expense (3,581) (2,445) (31.7)%",,,
Net Interest Income,"11,278","13,267",17.6%
"Other Income 6,284 6,975 11.0%",,,
Total Income,"17,563","20,242",15.3%
"Provisions (1,244) (1,469) 18.1%",,,
Operating Costs,"(8,760)","(9,923)",13.2%
Exceptional Items 62 100 61.3%,,,
PBT,"7,622","8,951",17.4%
"Tax (2,219) (2,643) 19.1%",,,
PAT,"5,403","6,308",16.7%
Key Ratios,,,
NIM,13.0%,12.6%,
C/I Ratio,49.9%,49.0%,
Cost of Risk,2.09%,2.05%,
RoAE,30.8%,28.8%,
RoAA,5.2%,5.0%,
