Group,Column,Bank
2012,2011,2012
"12,720","6,057
33,209
72,629","12,093"
"33,393",,"27,949"
"86,555",,"78,548"
"132,668","111,895","118,590"
,"19,208
10,120
2,942",
"18,187",,"15,871"
"13,557",,"4,981"
"3,501",,"2,944"
"35,245","32,270","23,796"
"167,913","144,165","142,386"
