Column,"EBKL
FY 2024 FY 2025",Column,"EBCDC
FY 2024 FY 2025",Column,"GROUP
FY 2024 FY 2025",Column
PPrrooffiittaabbiilliittyy,,,,,,
Yield on Loans,14.3%,14.1%,10.3%,10.0%,13.3%,12.7%
Yield on Government Securities,11.9%,11.0%,13.9%,11.6%,11.8%,11.3%
Yield on Interest Earning Assets,12.4%,12.2%,8.6%,8.6%,12.1%,11.8%
Cost of Deposits,5.1%,3.5%,1.9%,1.6%,3.7%,2.7%
Cost of Funds,5.8%,3.9%,2.0%,1.7%,4.3%,3.3%
Net Interest Margin,6.6%,8.3%,6.6%,6.9%,7.8%,8.5%
NFI Mix,36.7%,33.2%,50.2%,55.0%,43.9%,41.7%
Cost to Income Ratio with Provisions,70%,59%,67%,55%,69%,58%
Cost to Income Ratio without Provisions,61%,49%,57%,53%,58%,51%
RoAE,20.2%,26.8%,22.7%,29.5%,21.5%,26.7%
RoAA,2.4%,3.9%,2.6%,4.0%,2.8%,4.2%
AAsssseett QQuuaalliittyy,,,,,,
NPL,17.4%,16.3%,5.7%,5.7%,12.2%,10.5%
NPL Coverage,63%,61%,99%,85%,71%,68%
Cost of Risk,2.0%,2.6%,2.5%,0.7%,2.5%,1.7%
"LLeevveerraaggee
Loan / Deposit Ratio",50%,48%,50%,58%,59%,61%
CCaappiittaall AAddeeqquuaaccyy RRaattiiooss,,,,,,
Core Capital to Risk Weighted Assets,15.6%,14.4%,11.8%,10.9%,17.3%,19.1%
Total Capital to Risk Weighted Assets,17.6%,16.5%,13.6%,12.8%,19.0%,20.5%
LLiiqquuiiddiittyy,,,,,,
Liquidity ratio,79.7%,77.3%,133.5%,133.9%,57.4%,64.7%
