DIRECTOR,NO. OF SHARES,%
Dr. Peter Munga,"15,417,690",0.409%
Mr. David Ansell,Nil,Nil
Dr. James Mwangi,"127,809,180",3.387%
Prof. Isaac Macharia,Nil,Nil
Dr. Helen Gichohi,"116,600",0.003%
Mr. Dennis Aluanga,Nil,Nil
Mrs. Evelyn Rutagwenda,Nil,Nil
Mr. Vijay Gidoomal,Nil,Nil
Mr. Deepak Malik,Nil,Nil
Mrs. Mary Wamae,"1,110,000",0.029%
