2016,Column,Column,Column,Column
"Property, equipment and software",693,154,-,847
Allowances for loan losses,"1,845",33,-,"1,878"
Provision for accrued leave,41,11,-,52
Unrealised exchange losses,124,55,-,179
Unrealised exchange gains,(5),4,-,(1)
Tax losses,262,(135),-,127
,"2,960",122,-,"3,082"
