"2024
Shs’ millions",%
"263,950",16%
184,0%
"511,982",32%
67,0%
"815,869",50%
"3,367",0%
"26,885",2%
"1,622,304",
"122,748",
"50,152",
"172,900",
"1,795,204",
"22,150",84%
"1,103",4%
"3,114",12%
"26,367",
