"Country of
incorporation",Shareholding,2022
,2022,Shs’ millions
Kenya,100%,"40,733"
DRC,84.1%,"27,354"
South Sudan,100%,"5,712"
Uganda,100%,"6,908"
Tanzania,100%,"7,377"
Rwanda,100%,"2,807"
Kenya,100%,"1,001"
Kenya,100%,420
Kenya,100%,600
Kenya,100%,100
Kenya,100%,0.5
Kenya,100%,420
Kenya,100%,0.1
,,"93,433"
