Column,"Carrying
amount","Non-
interest
bearing","Less than
3 Months","3-6
Months","6-12
Months","1-5
Years","More than 5
years"
31 December 2018,"Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions",Shs’ millions
Assets,,,,,,,
"Balances and deposits
due from financial
institutions","74,619","36,242","38,377",-,-,-,-
"Loans and advances to
customers","297,227",-,"297,227",-,-,-,-
Investment securities,"160,952",-,"23,736","13,860","39,422","29,659","54,275"
,"532,798","36,242","359,340",13860,"39,422","29,659","54,275"
Liabilities,,,,,,,
Deposits from customers,"422,758","282,230","42,247","40,126","33,871","24,277",7
Borrowed funds,"45,101",-,"6,036","1,017","8,418","27,384","2,246"
,"467,859","282,230","48,283","41,143","42,289","51,661","2,253"
"Interest rate
sensitivity gap","64,939","(245,988)","311,057","(27,283)","(2,867)","(22,002)","52,022"
