Name of Director,"Number of meetings
attended"
Peter kahara munga,5
James njuguna mwangi,5
Babatunde temitope Soyoye,5
temitope Olugbminiyi Lawani,2
Benson irungu Wairegi,4
Frederick mwangi muchoki,5
Julius kangogo kipng’etich,5
Peter Gachuba,5
Linus Wang’ombe Gitahi,5
Ernest mattho nzovu,5
