Software,"Acquired
intangible asset","Work
in progress",Total
Shs’ millions,Shs’millions,Shs’ millions,Shs’ millions
"12,955",-,758,"13,713"
641,"1,882",194,"2,717"
(234),-,(12),(246)
"1,299",-,453,"1,752"
279,-,(279),-
"14,940","1,882","1,114","17,936"
"6,469",-,-,"6,469"
538,-,-,538
(33),-,-,(33)
"1,341",-,-,"1,341"
"8,315",-,-,"8,315"
"6,625","1,882","1,114","9,621"
