Financial assets,Column,Column,Column,Column,Column,Column
"Cash balances and deposits in
financial institutions","1,890",-,-,-,-,"1,890"
Amounts due from related party,"8,318",-,-,-,-,"8,318"
Total Financial assets,"10,208",-,-,-,-,"10,208"
Financial liabilities,,,,,,
Amounts due to related parties,"2,475",-,-,-,-,"2,475"
Other liabilities,11,-,-,-,-,11
Total Financial liabilities,"2,486",-,-,-,-,"2,486"
Liquidity Gap at 31 December 2015,"7,722",-,-,-,-,"7,722"
