Kenya,Uganda,South Sudan,Rwanda,Tanzania,DRC
80%,37%,147%,336%,33%,134%
74%,31%,137%,323%,31%,134%
82%,37%,151%,520%,35%,138%
66%,20%,103%,201%,27%,130%
20%,20%,20%,100%,20%,100%
