UNAUDITED FINANCIAL STATEMENTS AND OTHER DISCLOSURES,EQUITY BANK (KENYA) LIMITED,Column,EQUITY GROUP HOLDINGS PLC,Column,Column,Column
,BANK,,COMPANY,,GROUP,
,"30th June 31st Dec 31st Mar
2019 2019 2020
Shs. ‘000’ Shs. ‘000’ Shs. ‘000’
(Unaudited) (Audited) (Unaudited)
323.19 624.79 128.29
- 400.00 -
22,241,301 26,184,843 32,166,812
3,075,505 3,595,537 4,512,192",30th June,"30th June 31st Dec 31st Mar
2019 2019 2020
Shs. ‘000’ Shs. ‘000’ Shs. ‘000’
(Unaudited) (Audited) (Unaudited)
0.02 3.25 0.07
- - -
- - -
- - -",30th June,"30th June 31st Dec 31st Mar
2019 2019 2020
Shs. ‘000’ Shs. ‘000’ Shs. ‘000’
(Unaudited) (Audited) (Unaudited)
3.18 5.93 1.41
- - -
29,243,130 36,273,992 44,648,014
3,579,769 4,299,222 5,381,185",30th June
,,2020,,2020,,2020
,,Shs. ‘000’,,Shs. ‘000’,,Shs. ‘000’
,,(Unaudited),,(Unaudited),,(Unaudited)
,,239.11,,0.12,,2.39
,,-,,-,,-
,,"32,793,328",,-,,"45,550,316"
,,"4,720,396",,-,,"5,783,140"
,"19,165,796 22,589,306 27,654,620
6,902,112 10,105,423 11,621,681","28,072,932","- - -
- - -",-,"25,663,361 31,974,770 39,266,829
9,449,135 12,937,708 15,078,139","39,767,176"
,,"12,372,202",,-,,"16,319,141"
,"12,263,684 12,483,883 16,032,939
11,262,340 11,341,973 14,834,534","15,700,730","- - -
- - -",-,"16,214,226 19,037,062 24,188,690
15,168,999 17,897,872 22,082,387","23,448,035"
,,"14,382,064",,-,,"22,879,863"
,"1,001,344 1,141,910 1,198,405","1,318,666",- - -,-,"1,045,227 1,139,190 2,106,303","568,172"
,"2,195,793 3,001,441 3,180,962
4,847,285 4,997,039 4,997,314",,"- - -
- - -",,"2,380,740 3,188,958 3,366,758
6,207,446 6,484,656 6,503,435",
,,"4,480,269",,-,,"4,661,838"
,,"5,080,736",,-,,"6,769,370"
,"7,043,078 7,998,480 8,178,276","9,561,005",- - -,-,"8,588,186 9,673,614 9,870,193","11,431,208"
,"67,050,258 72,277,376 76,635,876
23,361,463 32,137,299 40,321,292
- - -",,"- - -
- - -
- - -",,"81,404,282 83,225,929 93,159,724
23,361,462 32,809,333 40,321,292
- - -",
,,"66,896,074",,-,,"84,934,376"
,,"40,267,371",,-,,"40,267,371"
,,-,,-,,-
,"90,411,721 104,414,675 116,957,168","107,163,445",- - -,-,"104,765,744 116,035,262 133,481,016","125,201,747"
,,"64,350,476",,-,,"110,200,576"
,,"1,000,000",,-,,"4,173,124"
,,"63,350,476",,-,,"106,027,452"
,,"21,330,000",,-,,"22,153,778"
,,"85,680,476",,-,,"132,354,354"
,,"524,264,379",,-,,"653,898,060"
,,15.2%,,-,,20.3%
,,8.0%,,-,,8.0%
,,7.2%,,-,,12.3%
,,12.3%,,-,,16.9%
,,10.5%,,-,,10.5%
,,1.8%,,-,,6.4%
,,16.3%,,-,,20.2%
,,14.5%,,-,,14.5%
,,1.8%,,-,,5.7%
,,15.3%,,-,,20.6%
,,12.4%,,-,,17.1%
,,16.4%,,-,,20.5%
,,59.4%,,-,,54.2%
,,20.0%,,-,,20.0%
,,39.4%,,-,,34.2%
