0 - 3 months,3-6 months,6-12 months,1-5 years,Totals
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions
"10,736","8,687","12,273","21,629","53,325"
"6,028","17,361","8,567","1,327","33,283"
-,-,578,-,578
"9,853","2,982","4,200","3,597","20,632"
"26,617","29,030","25,618","26,553","107,818"
