Column,Key Innovation,Description
1,"Eazzy Banking Suite- Multi-
Country Roll out: EazzyBanking
App, EazzyPay, EazzyLoan,
EazzyBiz, EazzyClub","Rollout of the Eazzy Banking suite of products currently rolled out in Kenya to the rest of
the subsidiaries."
2,"Oracle Virtual Banking Program:
• Customer experience suite
• Customer data hub
• Web centre content
• Business intelligence
• Identity & access
management
• OFSAA","Program aims to ensure a growth strategy and operating model that will:
• Grow clients from 9 million to 100 million clients;
• Deepen our position in existing markets, using a scalable operating model;
• Extend our footprint tactically across the continent; and
• P romote the use of mobile and alternative channels to drive towards a cash-lite
operating environment."
3,"Cyber Security Defense &
Control Programs:
• MSS & SOC
• PCIDSS
• 3D security & E-commerce
security","Program aims at addressing Cyber Security Risks:
• Cyber defense: 365x24x7 Security monitoring of internal and external threats;
• Brand protection: Full time security protection of Equity Bank digital footprint
including all sites, mobile apps and other digital eco-systems; and
• Vulnerability management: End-to-end infrastructure and systems security
assessment and controls implementation including penetration testing, systems
configurations review, architecture design and review."
4,"Finacle Core & Treasury
Upgrade Program:","This project seeks to:
• Upgrade the current Finacle infrastructure from an IBM Platform to Oracle Platform;
• Upgrade Finacle from version 10.2.13 to 10.2.18;
• Upgrade Treasury version from 10.8.6 to 11.2;
• Deploy in Country Finacle DR for Uganda, Tanzania & Rwanda; and
• Upgrade Oracle Database version from 11g to 12c."
5,"International Money Transfer
Projects: (Wave, HomeSend,
Western Union, Simbapay,
Transfast, Instant Cash, Xoom,
FunTech, Hello Paisa)","The projects seeks to enable integration to different International Money Remittance
Partners for Money transfer through Equity Bank to Equity accounts, third party banks
accounts and mobile wallets within the region: Kenya, Uganda, Tanzania, Rwanda
Democratic Republic of Congo (“DRC”)."
