SDG,SDG Target,Result
,"Protect, restore and promote
sustainable use of terrestrial
ecosystems, sustainably manage
forests, combat desertification and
halt and reverse land degradation, and
halt biodiversity loss.
By 2020, ensure the conservation,
restoration and sustainable use of
terrestrial and inland freshwater
ecosystems and their services, in
particular forests, wetlands, mountains
and drylands, in line with obligations
under international agreements.","» Human life depends on the earth as much as the
ocean for our sustenance and livelihoods. It is
for this reason that Equity supports sustainable
financing to the fishing industry in Lake Victoria,
Turkana & Indian Ocean as well as funding to
sustainable horticulture farms on Lake Naivasha."
,"Promote peaceful and inclusive
societies for sustainable development,
provide access to justice for all and
build effective, accountable and
inclusive institutions at all levels.","» Equity is an active member of the Kenya Private
Sector Alliance (KEPSA) lobby group involved in
civic education campaigns for peace before, during
and after general elections.
» Anchored on the CSV model, both economic
and social programs are based on a principle of
shared prosperity which ensures distribution of
opportunities to minimize conflict. To date, Equity
has a cost to income ratio of 51%, in large part,
due to its shared prosperity model."
,"Strengthen the means of
implementation and revitalise the
global partnership for sustainable
development.","» Participated in Public Private Partnerships (PPPs)
and other strategic partnerships.
» Raised USD 412 Million to support the
implementation of our social programs.
» Equitel MVNO connecting 2.9 million to the
internet."
