Group,Column,Bank
2012,2011,2012
"7,595","26,795
4,610
(23,738)
-
(72)","7,595"
"16,027",,"16,118"
"(13,954)",,"(13,959)"
(124),,(124)
454,,454
"9,993",7.595,"9,993"
"41,101","30,502","32,792"
