Kenya,Uganda,"South
Sudan",Rwanda,Tanzania,DRC
68%,29%,132%,289%,38%,143%
69%,30%,148%,274%,35%,151%
83%,37%,222%,411%,41%,176%
64%,24%,122%,193%,27%,140%
20%,20%,20%,100%,20%,100%
