BUSINESS MODEL,KEY FEATURES,CATEGORY
Held to collect,"(cid:55)he ob(cid:77)ective of the business model is to hold assets to
collect contractual cash (cid:190)ows(cid:17)
◼ Sales are incidental to the ob(cid:77)ective of the model(cid:17)
◼ This model typically involves the lowest level of
sales in comparison with other business models (in
frequency and volume).",Amortised cost (1)
Both held to collect and for sale,"Both collecting contractual cash (cid:190)ows and sales are
integral to achieving the ob(cid:77)ective of the business
model.
This model typically has more sales (in frequency and
volume(cid:12) than the held-to-collect business model(cid:17)",FVOCI (1)
"Other business models, including:
◼ Trading, managing assets on a fair
value basis and maximising cash
(cid:190)ows through sale","◼ (cid:55)he business model is neither held-to-collect nor
held to collect and for sale.
◼ (cid:55)he collection of contractual cash (cid:190)ows is incidental
to the ob(cid:77)ective of the model(cid:17)",FVTPL (2)
