EQUITY BANK (KENYA) LIMITED,Column,EQUITY GROUP HOLDINGS PLC,Column,Column,Column
BANK,,COMPANY,,GROUP,
"31st Dec 2019
Shs. ‘000’
(Audited)","31st Dec 2020
Shs. ‘000’
(Audited)","31st Dec 2019
Shs. ‘000’
(Audited)","31st Dec 2020
Shs. ‘000’
(Audited)","31st Dec 2019
Shs. ‘000’
(Audited)","31st Dec 2020
Shs. ‘000’
(Audited)"
"10,294,829","13,027,022","12,693,971","8,818,038","25,499,983","44,484,008"
"22,299,710","16,633,521",-,-,"22,299,710","16,633,521"
-,-,-,-,-,-
-,-,-,-,-,-
"154,964,387","195,157,006",-,-,"172,208,187","217,407,885"
"15,798,028","13,390,327",-,-,"21,572,268","15,842,417"
"15,183,690","13,390,327",-,-,"15,183,690","13,390,327"
"614,338",-,-,-,"6,388,578","2,452,090"
"139,166,359","181,766,679",-,-,"150,635,919","201,565,468"
"123,389,271
15,777,088","162,290,072
19,476,607","-
-","-
-","123,389,271
27,246,648","162,309,318
39,256,150"
"4,000,974
6,800,293","9,516,400
80,808,444","-
-","-
-","7,202,000
31,432,500","29,543,160
156,432,181"
-,-,"36,935","54,326","152,328","279,439"
"276,863,043","313,065,151",-,-,"366,440,456","477,847,189"
"925,602","1,493,361","60,535","39,265","19,100",-
-,-,-,-,-,-
-,-,"66,786,117","80,451,544",-,-
-,-,-,-,-,-
"-
5,725,566","-
5,334,684","-
12,455","-
11,814","-
11,030,843","5,575,912
15,903,898"
-,-,-,-,-,-
"6,191,571","6,496,942",-,-,"7,244,414","9,621,193"
"5,064,277","11,268,837","84,481","90,055","6,491,884","13,206,930"
-,-,-,-,-,-
"14,394,985","14,848,399","159,065","511,702","23,661,136","28,157,999"
"507,525,237","667,649,767","79,833,559","89,976,744","673,682,541","1,015,093,315"
-,-,-,-,-,-
"380,603,583","496,748,100",-,-,"482,752,134","740,800,779"
"-
-","-
-","-
-","-
-","-
-","-
-"
"534,216","5,674,800",-,-,"113,414","9,927,450"
"41,542,934","64,279,082",-,"10,937,529","56,600,944","87,220,864"
"176,118","742,777","618,649","440,830",-,"113,704"
"1,257,482","720,990",-,-,"1,928,201","1,640,859"
"-
-","-
-","-
-","-
-","-
149,708","-
1,338,555"
