Performance,2023,2024
Total number of active equitel users,2.05 Million,2.23 Million
Number of Equitel customers active on telephony,0.45 Million,0.52 Million
(cid:49)umber of Equitel customers active on m-banking,0.99 Million,1.06 Million
Other metrics,,
Volume of transactions on Jenga API,0.99 Million,1.19 Million
Volume of transactions via the Jenga Gateway,"2,521","2,871"
