Shareholding,No. of shareholders,No. of shares,% Shares held
1 to 500,"11,639","2,715,799",0.07
"501–5,000","11,421","20,806,665",0.55
"5,001–10,000","1,749","13,413,603",0.35
"10,001–100,000","2,260","66,074,294",1.75
"100,001–1,000,000",522,"185,433,285",4.91
"1,000,001 and above",297,"3,485,231,156",92.35
TOTAL,"27,888","3,773,674,802",100
