KE,S,Bil,li,Column,Column,Column,Column,Column,Column,Column,FY2023,FY2024,Growth,C,o,n,s,"F
t","Y
an","2
t","0
C","2
u","4
r",r,en,c,y,Column,G,r,o,w,t,h
Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cash&CashEquivalents
GovernmentSecuri(cid:415)es",,,,,,,,,,,"290.1
500.5","344.6
512.0","19%
2%","516.7
556.3",,,,,,,,,,,,,,,,"7
1","8
1","%
%",,
NetLoans,,,,,,,,,,,887.4,819.2,-8%,931.9,,,,,,,,,,,,,,,,,5,%,,
OtherAssets,,,,,,,,,,,143.4,128.8,-10%,147.2,,,,,,,,,,,,,,,,,4,%,,
TotalAssets,,,,,,,,,,,"1,821.4","1,804.6",-1%,"2,152.1",,,,,,,,,,,,,,,,1,8,%,,
Lia,b,ili,(cid:415),es&Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,D,e,po,s,its,,,,"1,358.2","1,399.7",3%,"1,672.0",,,,,,,,,,,,,,,,2,3,%,,
,,,B,or,ro,w,e,d,F,unds,150.6,74.3,-51%,88.8,,,,,,,,,,,,,,,,-4,,1%,,
,,,O,t,he,r,Li,ab,ili,(cid:415)es,94.5,83.7,-11%,109.1,,,,,,,,,,,,,,18%,,,,,,
,,,S,ha,re,h,o,ld,,,218.1,246.9,13%,282.2,,,,,,,,,,,,,,29%,,,,,,
To,ta,l,Li,ab,ili,,,,,,"1,821.4","1,804.6",-1%,"2,152.1",,,,,,,,,,,,,,18%,,,,,,
