Column,Bank,Bank,Group,Group
,Sept 2013,Sept 2014,Sept 2013,Sept 2014
Profitability,,,,
NIM,13.1%,11.9%,12.3%,10.9%
Cost to Income Ratio,46.8%,48.0%,50.9%,51.9%
ROE,24.9%,25.6%,26.4%,27.6%
ROA,4.9%,5.2%,4.6%,4.9%
Asset Quality,,,,
NPL Ratio,5.2%,4.0%,5.5%,4.3%
Cost of Risk,1.79%%,0.49%,2.15%,0.63%
NPL Coverage,53.6%,63.6%,52.3%,61.2%
Liquidity / Leverage,,,,
Loan / Deposit Ratio,88.6%,94.6%,86%,73%
Statutory Liquidity Ratio,38.3%,30.1%,38.3%,30.1%
Capital Adequacy Ratios,,,,
Core Capital to Risk Weighted Assets,14.9%,13.4%,14.9%,13.4%
Core Capital to Deposits Ratio,20.9%,20.2%,20.9%,20.2%
Total Capital to Risk Weighted Assets,22.6%,16.1%,22.6%,16.1%
