STATEMENT OF COMPREHENSIVE INCOME,BANK,Column,GROUP CONSOLIDATED,Column
,,"30th Jun 2013
Shs. ‘000’ (Un-audited)","30th Jun 2012 31st Dec 2012 31st Mar 2013
Shs. ‘000’ (Un-audited) Shs. ‘000’ (Audited) Shs. ‘000’ (Un-audited)
13,314,708 27,471,533 7,083,685
1,372,596 3,020,913 852,785
148,700 271,147 21,279
23,369 84,354 29,049","30th Jun 2013
Shs. ‘000’ (Un-audited)"
,,"12,374,902",,"13,701,270"
,,"1,539,951",,"1,723,699"
,,"192,921
675",,"233,275
53,925"
,,"14,108,449","14,859,373 30,847,947 7,986,798","15,712,169"
,,,"2,587,684 5,166,764 726,031
147,206 258,598 68,842
845,825 1,458,452 319,742",
,,"1,407,090",,"1,704,046"
,,"1,145",,"43,045"
,,"719,082",,"698,294"
,,"2,127,317","3,580,715 6,883,814 1,114,615","2,445,385"
,,"11,981,132","11,278,658 23,964,133 6,872,183","13,266,784"
,,,"1,636,988 3,560,952 951,025
3,055,550 6,309,445 1,601,890
1,068,427 1,900,459 438,423
5,065 5,195 6,927",
,,"1,888,136",,"2,089,951"
,,"2,775,040",,"3,382,186"
,,"455,931",,"940,001"
,,"40,089",,"6,927"
,,"174,923
5,334,119","518,212 1,087,295 337,418
6,284,241 12,863,346 3,335,683","556,317
6,975,382"
,,"17,315,251","17,562,899 36,827,479 10,207,866
1,243,605 1,608,316 681,674
3,891,779 7,145,470 1,975,170
16,571 26,887 8,172
691,684 1,460,912 414,293
916,836 2,028,220 540,277
136,539 287,775 79,567
3,106,345 7,021,225 2,039,621","20,242,166"
,,"1,242,627",,"1,468,651"
,,"3,675,374",,"4,400,615"
,,"10,607",,"14,393"
,,"377,381",,"740,548"
,,"892,874",,"1,085,137"
,,"157,526",,"160,830"
,,"2,648,421",,"3,521,077"
,,"9,004,810","10,003,359 19,578,805 5,738,774","11,391,251"
,,"8,310,441","7,559,540 17,248,674 4,469,092","8,850,915"
,,-,"62,163 170,733 46,980","100,058"
,,"8,310,441","7,621,703 17,419,407 4,516,072","8,950,973"
,,"(2,493,132)","(2,218,870) (5,878,980) (1,302,050)
- 539,828 -","(2,643,364)"
,,-,,-
,,"5,817,309","5,402,833 12,080,255 3,214,022","6,307,609"
,,-,- - -,-
,,"5,817,309","5,402,833 12,080,255 3,214,022","6,307,609"
,,,"(238,103) (74,000) (347,741)
213,130 330,281 (356,616)
- (2,298) -
- - -
- - -",
,,-,,"(346,147)"
,,"315,215",,"315,215"
,,-,,-
,,-,,-
,,-,,-
,,"315,215","(24,973) 253,983 (704,357)","(30,932)"
,,"6,132,524","5,377,860 12,334,238 2,509,665","6,276,677"
