2022 Guidance
Loan Growth 25% - 30%
Deposit Growth 25% - 30%
Net Interest Margin 7.0% - 8.0%
Non Funded Income Mix 40% - 43%
Cost to Income Ratio 40% - 45%
Return on Equity 25% - 30%
Return on Assets 3.6% - 4.3%
Cost of Risk 0.5% - 1.0%
NPL 5% - 7%
Subsidiaries Contribution (Assets) 40% - 45%
Subsidiaries Contribution (PBT) 25% - 30%
