Column,Kenya,Uganda,S. Sudan,Rwanda,Tanzania,DRC
Customer accounts,14.4m,2.2m,"203,840",1.5m,"570,710",2.7m
Branches,216,50,5,34,15,79
Employees,"7,013","1,424",149,939,501,"3,057"
ATMs,345,58,20,56,20,400
Agency outlets,"42,622","9,193",90,"4,791","5,341","23,043"
Merchants,1.01m,"44,102",176,"14,105","3,413","3,270"
