AGENCY BANKING,Dec-20,Dec-19,Growth
Number of agents,"53,151","53,417",0%
Monthly transactions,6.3 Mn,7.2 Mn,(13)%
Monthly value of transactions,77.4 Bn,66.7 Bn,16%
Monthly agent commissions (gross),148 Mn,184 Mn,(19)%
