Performance,KShs million
Total revenue,"5,489"
Customer deposits,"32,331"
Total assets,"41,863"
PBT,776
Statistics,In absolute
Customer numbers,"428,529"
Employee numbers,567
ATM’s,107
Branches,41
Agents,"1,180"
