Software,Acquired intangible asset,Work in progress,Total
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions
"21,581","2,434","5,689","29,704"
525,-,"1,069","1,594"
(827),-,663,(164)
917,-,(917),-
"(2,452)",-,(647),"(3,099)"
"19,744","2,434","5,857","28,035"
"9,757",552,"5,689","15,998"
"1,903",276,-,"2,179"
(21),-,-,(21)
(29),-,-,(29)
"11,610",828,-,"12,438"
"8,134","1,606","5,857","15,597"
