EBKL,Equity BCDC,EBTL,EBUL,Column,EBRPLC,EBSSL
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions,,Shs’ millions,Shs’ millions
"764,664","269,317","26,257","67,336",,"43,390","2,736"
"121,034","31,671","4,552","11,516",,"7,231","3,697"
"158,267","36,218","4,552","12,927","7,231",,"3,697"
"647,371","367,673","34,320","91,433",,"50,752","11,997"
15.8%,11.8%,17.3%,17.1%,,16.7%,135.1%
10.5%,7.5%,12.5%,10.0%,,10.0%,8.0%
5.3%,4.3%,4.8%,7.1%,,6.7%,127.1%
20.7%,13.4%,17.3%,18.1%,,16.7%,135.1%
14.5%,10.0%,14.5%,12.0%,,15.0%,12.0%
6.2%,3.4%,2.8%,6.1%,,1.7%,123.1%
18.7%,8.6%,13.3%,12.6%,,14.2%,30.8%
8.0%,8.0%,8.0%,10.0%,,8.0%,8.0%
10.7%,0.6%,5.3%,2.6%,,6.2%,22.8%
