H1 2021,EBTL,EBRL,EBUL,EBSS,"Equity
BCDC",EIA,EIB,Finserve,"Other Subs Total
(% Contribution)","EBKL
(% Contribution)","Group
(% growth)","Other Subs
Contribution
H1 2021","Other Subs
Contribution
H1 2020"
Deposit,19.4,30.8,57.3,7.7,274.8,,,,390.1,583.3,820.3,40%,28%
YoY Growth,10%,20%,45%,22%,282%,,,,40%,60%,51%,,
Loan,17.2,22.8,43.0,0.3,88.7,,,,172.0,332.8,504.8,34%,25%
YoY Growth,31%,20%,36%,492%,160%,,,,34%,66%,29%,,
Assets,29.6,42.5,72.6,11.8,328.3,0.9,0.7,2.3,488.6,774.4,"1,119.7",39%,28%
YoY Growth,6%,22%,39%,19%,280%,46%,24%,0%,39%,61%,50%,,
Revenue,1.4,2.3,4.4,-0.3,9.5,0.6,0.1,0.7,18.7,33.9,51.6,36%,28%
YoY Growth,72%,31%,40%,-185%,164%,13%,327%,5%,36%,64%,33%,,
"Cost before
provisions",1.0,0.9,2.3,0.2,7.2,0.1,0.0,0.5,12.3,13.2,25.2,48%,36%
YoY Growth,21%,7%,27%,6%,179%,-7%,10%,1%,48%,52%,32%,,
"PBT before
provisions",0.4,1.4,2.1,-0.5,2.3,0.4,0.1,0.2,6.4,20.5,26.4,24%,20%
YoY Growth,1876%,54%,59%,-490%,125%,22%,199%,15%,24%,76%,34%,,
PBT,0.2,1.1,1.8,-0.5,1.8,0.4,0.1,0.2,5.3,18.9,23.8,22%,21%
YoY Growth,229%,56%,108%,-490%,277%,22%,199%,14%,22%,78%,99%,,
PAT,0.1,0.8,1.3,-0.5,1.6,0.3,0.1,0.2,3.8,14.4,17.9,21%,19%
YoY Growth,181%,56%,108%,-610%,447%,15%,199%,1%,21%,79%,98%,,
RoAE,5.3%,25.4%,25.7%,-30.4%,12.6%,181.8%,47.5%,20.5%,15.5%,31.9%,25.0%,,
Cost of Capital,20%,19%,19%,(cid:31)25%,22%,18%,18%,18%,21%,18%,19%,,
