UN SDG,Equity’s Contribution
,"SDG 13: Climate Action
Kenya Vision 2030 – the long-term development blueprint for the country – aims to transform Kenya into
“a newly industrializing, middle-income country providing a high quality of life to all its citizens in a clean
and secure environment.”
Equity, in addition to other environmental and energy initiatives, supports productive uses of energy (PUE) in
areas such as water pumping for drip irrigation and cattle drinking, aeration for aquacultures, refrigeration
and poultry lighting. Other areas of intervention are pest control and electric fencing. The impacts of solar
electricity on agricultural activities are increased productivity (including higher yields, lower losses, and
faster production) and improved natural resource management."
,"SDG14: Conserve and sustainably use the oceans, seas and marine resources for sustainable
development.
One of the biggest threats to life below the sea is siltation, which causes challenges for fish and other
aquatic organisms including destruction of fish breeding areas and causing havoc with chemicals and waste
that rivers carry along. To address this challenge, EGF, working with partners has embarked on training
farmers on climate smart agriculture that reduces destruction and through Equity Bank, supports farmers
to access financing to harvest rainwater among other interventions that support sustainable agriculture."
,"SDG 15: Life on Land
Human life depends on the earth as much as the ocean for our sustenance and livelihoods. It is for this
reason that Equity support sustainable financing to fishing industry in Lake Victoria, Lake Turkana, and the
Indian Ocean as well as funding to sustainable horticulture farms on Lake Naivasha.
To avoid land degradation and deforestation, EGF working like-minded partners have come up with
innovative solutions to support communities particularly through farm-forest investment facilities for
smallholder farmers that are both affordable and sustainable."
,"SDG 16: Peace, Justice and Strong Institutions
Without peace, stability, human rights and effective governance, based on the rule of law we cannot hope
for sustainable development. It is for this reason that Equity maintains Political neutrality and 100% legal
compliance.
Equity is an active member of the Kenya Private Alliance (KEPSA) lobby group which is involved in civic
education campaigns towards maintaining peace before, during and after general elections.
Anchored on its CSV model, both economic and social programs are based on a principle of shared
prosperity, which ensures distribution of opportunities to minimize conflict. To date, Equity has a Cost
income ratio of 32%, in large part, due to its shared prosperity model."
,"SDG 17: Partnerships for the Goals
The world today is more interconnected than ever before. Improving access to technology and knowledge
is an important way to share ideas and foster innovation. Equity continues to implement Public Private
Partnership (PPPs) and other Strategic alliance partnerships to support the scaling up and replication of
its programs.
Equitel MVNO for mobile broad band provide internet access to over 2.9 million people.
Equity has thus far raised USD 464,512,524 to support the implementation of its social programs."
