Group,Column,Bank,Column
2013,2012,2013,2012
"15,431","12,720
33,393
86,555","13,694",
"44,296",,"34,283",
"100,500",,"89,441",
"160,227","132,668","137,418",
,"18,187
13,557
3,501",,
"18,012",,"12,238",
"13,159",,"5,685",
"3,755",,"3,404",
"34,926","35,245","21,327",
"195,153","167,913","158,745",
,"83,735
84,178",,
"98,240",,"65,668",
"96,913",,"93,077",
"195,153","167,913","158,745",
