2022 Guidance Q3 2022 Actual
YOUR HEADLINE
Loan Growth 25% - 30% 21%
"WILL SIT HERE
Deposit Growth 25% - 30% 15%"
Net Interest Margin 7.0% - 8.0% 6.9%
Non Funded Income Mix 40% - 43% 40.7%
Cost to Income Ratio 40% - 45% 47.1%
Return on Equity 25% - 30% 27.8%
Return on Assets 3.6% - 4.3% 3.5%
Cost of Risk 0.5% - 1.0% 2.0%
NPL 5% - 7% 9.0%
Subsidiaries Contribution (Assets) 40% - 45% 42%
Subsidiaries Contribution (PBT) 25% - 30% 32%
