SDG,SDG Target,Result
,"Reduce inequality within and among
countries
10.1 - By 2030, progressively achieve
and sustain income growth of the
bottom 40 per cent of the population at
a rate higher than the national average.
10.2 - By 2030, empower and promote
the social, economic and political
inclusion of all, irrespective of age, sex,
disability, race, ethnicity, origin, religion
or economic or other status.
10.3 - Ensure equal opportunity and
reduce inequalities of outcome.","» 3,033 youth supported to access technical and
vocational skills."
,"Make cities and human settlements
inclusive, safe, resilient and
sustainable
11.1 - By 2030, ensure access for all to
adequate, safe and affordable housing
and basic services and upgrade slums.","» Equity works with Government to improve living
conditions through the provision of microfinance
loans for sustainable mortgages/real estate sector
as well support the provision of prepaid card
solutions for urban mass transport."
,"Ensure sustainable consumption and
production patterns
12.6 - Encourage companies, especially
large and transnational companies,
to adopt sustainable practices and to
integrate sustainability information into
their reporting cycle.","» Equity has adopted ICT to reduce energy use as
well as material consumption through its Tier 4
Green Data Centre."
,"Take urgent action to combat climate
change and its impacts.","» Equity, in addition to other environment and
energy initiatives, supports productive uses of
energy (PUE) in areas such as water pumping for
drip irrigation and cattle drinking, aeration for
aquacultures, refrigeration and poultry lighting.
Other areas of interest are pest control and
electric fencing. The impacts of solar electricity on
agricultural activities are increased productivity
(including higher yields, lower losses and faster
production) and improved natural resource
management."
