Column,Column,"20,117,856",Column,"22,604,493"
,,"2,432,223",,"2,858,224"
,,"215,577",,"258,462"
,,"2,585
22,768,241","89,763 183,765 115,620 211,729
23,560,306 31,889,624 8,417,313 16,971,022","318,958
26,040,137"
,,,"2,779,811 3,970,850 1,053,185 2,249,466
68,554 105,110 6,677 19,610
999,849 1,323,073 344,592 687,308",
,,"2,579,630",,"3,422,520"
,,"23,391",,"49,635"
,,"1,009,196",,"1,023,479"
,,"3,612,217","3,848,214 5,399,033 1,404,454 2,956,384","4,495,634"
,,"19,156,024","19,712,092 26,490,591 7,012,859 14,014,638","21,544,503"
,,,"3,176,900 4,476,134 1,219,687 2,438,734
5,178,518 6,713,988 2,010,490 4,223,777
1,375,292 1,866,074 611,092 1,069,799
6,927 7,018 2,053 4,155",
,,"3,661,597",,"3,876,267"
,,"5,212,730",,"6,529,176"
,,"732,892
100,223",,"1,571,383
3,680"
,,"284,021
9,991,463","816,460 2,307,483 288,825 582,337
10,554,097 15,370,697 4,132,147 8,318,802","1,008,207
12,988,713"
,,"29,147,487","30,266,189 41,861,288 11,145,006 22,333,440","34,533,216"
,,"620,920","2,370,609 2,401,942 316,499 517,968
6,698,823 9,024,259 2,414,746 4,984,045
21,827 27,751 4,652 17,404
1,174,692 1,576,272 443,966 878,287
1,664,086 2,203,209 615,391 1,221,060
244,275 323,060 95,330 210,154
5,605,559 7,154,373 1,851,878 3,786,435","899,861"
,,"6,366,270
16,586",,"7,765,927
30,399"
,,"799,267
1,483,264",,"1,369,743
1,865,609"
,,"347,966
4,984,178",,"356,164
6,551,692"
,,"14,618,451","17,779,871 22,710,866 5,742,462 11,615,353","18,839,395"
,,"14,529,036","12,486,318 19,150,422 5,402,544 10,718,087","15,693,821"
,,-,"152,301 (145,986) 49,507 106,253","165,589"
,,"14,529,036","12,638,619 19,004,436 5,452,051 10,824,340","15,859,410"
,,"(4,358,711)
-","(3,734,396) (5,881,766) (1,568,941) (3,163,669)
- 155,126 (4,454) -","(4,646,400)
-"
,,"10,170,325","8,904,223 13,277,796 3,878,656 7,660,671","11,213,010"
,,,"(309,425) (13,810) (354,285) (314,140)
(8,151) 1,795 347,379 (24,837)
- - - -
- - - -
- - - -",
,,-,,"(245,715)"
,,"378,722",,"378,722"
,,-,,-
,,-,,-
,,-,,-
,,"378,722","(317,576) (12,015) (6,906) (338,977)","133,007"
,,"10,549,047","8,586,647 13,265,781 3,871,750 7,321,694","11,346,017"
OTHER DISCLOSURES,BANK,,GROUP CONSOLIDATED,
,,30th Sept,"30th Sept 31st Dec 31st Mar 30th Jun
2013 2013 2014 2014
Shs. ‘000’ Shs. ‘000’ Shs. ‘000’ Shs. ‘000’
(Unaudited) (Audited) (Unaudited) (Unaudited)
9,011,621 9,246,423 7,765,108 8,863,839
1,507,707 1,716,180 1,688,930 1,839,457",30th Sept
,,2014,,2014
,,Shs. ‘000’,,Shs. ‘000’
,,(Unaudited),,(Unaudited)
,,"7,605,600
1,877,176",,"9,339,533
2,029,505"
,,"5,728,424","7,503,914 7,530,243 6,076,178 7,024,382","7,310,028"
,,"2,961,102","3,202,161 3,218,541 3,460,969 3,469,722
4,301,753 4,311,702 2,615,209 3,554,660
3,920,339 3,945,156 2,237,313 3,220,911","3,688,691"
,,"2,767,322
2,302,758",,"3,621,337
3,156,773"
,,"464,564","381,414 366,546 377,896 333,749","464,564"
,,,"1,178,802 1,358,461 1,535,062 710,489
4,416,867 4,749,698 4,968,500 5,341,721",
,,"1,021,436",,"1,021,436"
,,"5,479,191",,"5,880,960"
,,"6,500,627","5,595,669 6,108,159 6,503,562 6,052,209","6,902,396"
,,,"8,797,458 12,670,019 14,683,355 20,323,718
431,411 562,821 406,507 392,975
3,150,593 3,902,123 3,040,401 3,659,369",
,,"16,207,481",,"18,714,148"
,,"47,203",,"230,566"
,,"4,273,580",,"4,273,580"
,,"20,528,264",,
,,"39,189,236",,
,,"1,000,000",,
,,"38,189,236",,
,,"7,687,838",,
,,"46,877,074",,
,,"291,717,491",,
Ratios,,,,
,,20.2%,,
,,10.5%,,
,,9.7%,,
,,13.4%,,
,,10.5%,,
,,2.9%,,
,,16.1%,,
,,14.5%,,
,,1.6%,,
,,30.1%,,
,,20.0%,,
,,10.1%,,
