Column,Column,Column,Column,Column,Column,Column,"2025RealGDP
Growth%","DebttoGDP
%","Exchange
RatevsUSD",Column,"HInflatEion
Rate%"
,,,,,,,5.0,72.36,129.22,"WILL
11.25","SIT
3.3"
,,,,,,,4.5,22.8,"2,847.66",25.00,11.2
,,,,,,,12.3,50.29,"3,690.36",9.75,3.6
R,w,an,da,,,,6.8,73.30,"1,407.75",6.50,6.4
T,an,za,n,ia,,,6.3,46.28,"2,498.57",6.00,3.1
S,o,ut,hS,ud,a,n,,50.26,"4,364.69",15.00,14.9
S,o,ma,li,a,,,4.1,,571.50,,5.7
